PropertyID,PropertyNickname,TypeID,DefaultContractor,TotalJobs,DoneJobs,PendingJobs,CancelledJobs,LastDoneDate,NextScheduledDate,DaysSinceLastDone
P-008,15TH,VAC2,George Jimenez Landscaping,4,4,0,0,2026-07-02,,85
P-005,2049,RNT,The Farm Crew Landscaping,10,7,3,0,2026-08-03,2026-09-27,53
P-014,526 W IREDELL,VAC2,The Farm Crew Landscaping,10,8,2,0,2026-09-23,2026-10-23,2
P-012,707,LUX,Tony Bolt,17,12,4,1,2026-09-03,2026-09-30,22
P-013,BLUE HOMER,RNT,The Farm Crew Landscaping,20,14,4,2,2026-09-11,2026-09-28,14
P-006,BOUND,VAC2,George Jimenez Landscaping,4,4,0,0,2026-07-31,,56
P-007,CHURCH,VAC2,George Jimenez Landscaping,5,5,0,0,2026-08-01,,55
P-009,DON1,VAC2,Lawn Pro Guys,4,3,1,0,2026-07-25,,62
P-004,ERIC,VAC1,Tony Bolt,9,9,0,0,2026-08-23,,33
P-001,MIMI,LUX,Tony Bolt,16,12,2,2,2026-09-22,2026-10-04,3
P-003,PRESTON,VAC1,Tony Bolt,9,9,0,0,2026-08-26,,30
P-011,RACE,VAC2,The Farm Crew Landscaping,5,5,0,0,2026-08-12,,44
P-002,RACEWAY,RNT,The Farm Crew Landscaping,10,9,1,0,2026-09-24,2026-10-11,1
